"ZIP5","Electric","Total_Cars","Median_Household_Income","White_perc","BachOrHigher_perc","Zillow_Home_Value_Index","Total_Population","ZIP3","ev_perc","non_white","car_density","maj_white"
92653,788,24924,111111,56,51.3,1041678.67,30183,"926",3.16161129834697,44,825.762846635523,1
91711,670,25050,112430,47.5,58.2,876806.79,36841,"917",2.67465069860279,52.5,679.948969897668,0
92629,714,23040,111155,74.1,55.8,1438928.17,26929,"926",3.09895833333333,25.9,855.58320026737,1
95497,23,675,82552,80.6,71.4,1210806.84,1078,"954",3.40740740740741,19.4,626.159554730983,1
92270,530,15848,95158,78.7,44.3,860805.45,17129,"922",3.34427057041898,21.3,925.214548426645,1
94595,396,13603,84688,75.5,66.8,742826.39,17455,"945",2.9111225464971,24.5,779.318246920653,1
91709,1918,63311,109318,26.4,49.9,889006.89,78333,"917",3.02948934624315,73.6,808.228971187111,0
94501,1249,41125,101705,42.8,57.1,1175582.61,63588,"945",3.0370820668693,57.2,646.741523557904,0
92129,1338,41031,131688,47.7,61.9,1177455.91,53742,"921",3.26094903853184,52.3,763.48107625321,0
92103,788,24625,84756,68.2,64,959502.43,33873,"921",3.2,31.8,726.980190712367,1
94608,523,17870,106037,39.7,63,694478.06,33755,"946",2.92669278119754,60.3,529.403051399793,0
95746,660,20166,159804,72.4,57.6,1068808.15,22345,"957",3.27283546563523,27.6,902.483777131349,1
95136,1077,34730,131879,30,44.9,1239784.07,48867,"951",3.10106536135906,70,710.704565453169,0
94061,892,27114,131140,43.7,49.1,1722353.22,38255,"940",3.28981338054142,56.3,708.770095412364,0
92007,291,9295,124219,71,61.2,1726047.43,11447,"920",3.13071543840775,29,812.003144928802,1
91350,953,32869,122399,47.9,38.5,764198.61,42252,"913",2.89938848154796,52.1,777.927672062861,0
94560,1298,38169,144011,22.2,41,1121104.66,47815,"945",3.40066546150017,77.8,798.264143051344,0
94019,420,13791,137601,59.5,50.9,1479786.7,15452,"940",3.04546443332608,40.5,892.505824488739,1
90245,424,14371,126683,59.2,56.6,1535367.84,17243,"902",2.95038619441932,40.8,833.439656672273,1
